YEAR,COURSE,SELECTED,CAPACITY,REGISTERED
2019/2020,DIPLOMA IN ARCHITECTURE,90,105,53
2019/2020,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,250,290,207
2019/2020,DIPLOMA IN LABORATORY SCIENCE AND TECHNOLOGY,100,175,33
2019/2020,DIPLOMA IN ELECTRONICS AND TELECOMMUNICATION ENGINEERING,150,85,93
2019/2020,DIPLOMA IN HIGHWAY ENGINEERING,70,75,34
2019/2020,DIPLOMA IN COMPUTER SCIENCE,100,90,24
2019/2020,DIPLOMA IN MECHATRONICS ENGINEERING,75,80,29
2019/2020,DIPLOMA IN MECHANICAL ENGINEERING,153,170,43
2019/2020,DIPLOMA IN CIVIL ENGINEERING,283,300,83
2019/2020,DIPLOMA IN BUSINESS ADMINISTRATION,300,250,199
2019/2020,DIPLOMA IN FOOD SCIENCE AND TECHNOLOGY,100,145,54
2019/2020,DIPLOMA IN MINING ENGINEERING,90,120,86
2019/2020,DIPLOMA IN INFORMATION AND COMMUNICATION TECHNOLOGY,50,100,28
2019/2020,DIPLOMA IN BIOMEDICAL EQUIPMENT ENGINEERING,200,270,42
2019/2020,HIGHER DIPLOMA OF TECHNOLOGY IN ARCHITECTURE,270,250,241
2019/2020,HIGHER DIPLOMA IN CIVIL ENGINEERING,150,117,99
2019/2020,HIGHER DIPLOMA IN ELECTRICAL AND ELECTRONICS ENGINEERING,150,170,129
2019/2020,HIGHER DIPLOMA IN MECHANICAL ENGINEERING,200,180,164
2019/2020,HIGHER DIPLOMA IN COMPUTER ENGINEERING,100,120,105
2019/2020,BACHELOR OF MECHANICAL ENGINEERING-FOUR YEARS,120,200,41
2019/2020,BACHELOR OF CIVIL ENGINEERING-FOUR YEARS,150,250,129
2019/2020,BACHELOR OF COMPUTER ENGINEERING-FOUR YEARS,180,100,130
2019/2020,BACHELOR OF ELECTRICAL AND ELECTRONIC ENGINEERING-THREE YEARS,60,250,47
2019/2020,BACHELOR OF TECHNOLOGY IN ARCHITECTURE-THREE YEARS,100,160,29
2019/2020,BACHELOR OF LABORATORY SCIENCE AND TECHNOLOGY-THREE YEARS,50,180,7
2019/2020,BACHELOR OF SCIENCE WITH EDUCATION IN CHEMISTRY AND MATHEMATICS-THREE YEARS,250,200,151
2019/2020,BACHELOR OF SCIENCE WITH EDUCATION IN PHYSICS AND MATHEMATICS-THREE YEARS,29,50,7
2019/2020,BACHELOR OF ELECTRICAL AND ELECTRONIC ENGINEERING-THREE YEARS,75,50,14
2019/2020,BACHELOR OF TECHNOLOGY IN ARCHITECTURE-FOUR YEARS,300,160,214
2019/2020,BACHELOR OF MECHANICAL ENGINEERING-THREE YEARS,150,200,97
2019/2020,BACHELOR OF CIVIL ENGINEERING-THREE YEARS,97,250,33
2019/2020,BACHELOR OF COMPUTER ENGINEERING-THREE YEARS,167,100,117
2019/2020,BACHELOR OF SCIENCE WITH EDUCATION IN CHEMISTRY AND BIOLOGY-THREE YEARS,30,40,3
2019/2020,BACHELOR OF SCIENCE WITH EDUCATION IN CHEMISTRY AND PHYSICS-THREE YEARS,99,40,61
2019/2020,BACHELOR OF BUSINESS ADMINISTRATION-THREE YEARS,63,260,27
2019/2020,POSTGRADUATE DIPLOMA IN TECHNICAL EDUCATION,25,10,3
2019/2020,MASTER OF SCIENCE IN CIVIL ENGINEERING,10,20,2
2019/2020,DOCTOR OF PHILOSOPHY IN CIVIL ENGINEERING,12,10,7
2020/2021,CERTIFICATE IN AGRIBUSINESS WITH TECHNOLOGY,123,250,36
2020/2021,CERTIFICATE IN BUSINESS ADMINISTRATION,135,250,45
2020/2021,DIPLOMA IN MECHANICAL ENGINEERING,140,170,64
2020/2021,DIPLOMA IN CIVIL ENGINEERING,250,300,203
2020/2021,DIPLOMA IN BUSINESS ADMINISTRATION,47,250,10
2020/2021,DIPLOMA IN FOOD SCIENCE AND TECHNOLOGY,170,145,81
2020/2021,DIPLOMA IN MINING ENGINEERING,88,120,28
2020/2021,DIPLOMA IN INFORMATION AND COMMUNICATION TECHNOLOGY,70,120,30
2020/2021,DIPLOMA IN BIOMEDICAL EQUIPMENT ENGINEERING,300,270,279
2020/2021,DIPLOMA IN AGRIBUSINESS WITH TECHNOLOGY,55,250,12
2020/2021,DIPLOMA OF BUSINESS ADMINISTRATION IN MARKETING AND ENTREPRENEURSHIP,39,250,3
2020/2021,DIPLOMA OF TECHNICAL EDUCATION IN CIVIL ENGINEERING,100,135,3
2020/2021,DIPLOMA OF TECHNICAL EDUCATION IN ELECTRICAL AND ELECTRONICS ENGINEERING,49,135,1
2020/2021,DIPLOMA IN ARCHITECTURE,100,105,48
2020/2021,DIPLOMA IN ELECTRICAL AND ELECTRONIC ENGINEERING,300,290,187
2020/2021,DIPLOMA IN COMPUTER ENGINEERING,78,105,32
2020/2021,DIPLOMA IN LABORATORY SCIENCE AND TECHNOLOGY,250,175,102
2020/2021,DIPLOMA IN ELECTRONICS AND TELECOMMUNICATION ENGINEERING,70,85,29
2020/2021,DIPLOMA IN HIGHWAY ENGINEERING,50,75,19
2020/2021,DIPLOMA IN MECHATRONICS ENGINEERING,90,80,44
2020/2021,DIPLOMA OF BUSINESS ADMINISTRATION IN ACCOUNTING AND FINANCE,58,250,6
2020/2021,DIPLOMA IN MECHANICAL ENGINEERING WITH INDUSTIAL SAFETY AND OCCUPATIONAL HEALTH,35,40,4
2020/2021,HIGHER DIPLOMA IN ELECTRICAL AND ELECTRONICS ENGINEERING,19,30,1
2020/2021,BACHELOR OF ELECTRICAL AND ELECTRONIC ENGINEERING-FOUR YEARS,300,100,215
